Lake,Year,Species,DevelopMetamorphental stage,GE_M
Arlet,2013,Alytes obstetricans,Metamorph,141.8391514
Arlet,2013,Alytes obstetricans,Metamorph,31.21275425
Arlet,2013,Alytes obstetricans,Metamorph,107.5457573
Arlet,2013,Alytes obstetricans,Metamorph,11.18739724
Arlet,2013,Alytes obstetricans,Metamorph,1183.281403
Arlet,2013,Alytes obstetricans,Metamorph,3.430209458
Arlet,2013,Alytes obstetricans,Metamorph,523.4474182
Arlet,2013,Alytes obstetricans,Metamorph,1.719495654
Arlet,2013,Alytes obstetricans,Metamorph,10.47531605
Arlet,2013,Alytes obstetricans,Metamorph,1.404186785
Arlet,2013,Alytes obstetricans,Metamorph,2157.980347
Arlet,2013,Alytes obstetricans,Metamorph,1930.846252
Arlet,2013,Alytes obstetricans,Metamorph,10.01690626
Arlet,2013,Alytes obstetricans,Metamorph,231.5662384
Arlet,2013,Alytes obstetricans,Metamorph,14.15629148
Arlet,2013,Alytes obstetricans,Metamorph,0
Arlet,2013,Alytes obstetricans,Metamorph,0.022
Arlet,2013,Alytes obstetricans,Metamorph,48.2
Arlet,2013,Alytes obstetricans,Metamorph,0
Arlet,2013,Alytes obstetricans,Metamorph,3.98
Arlet,2013,Alytes obstetricans,Metamorph,85.2
Arlet,2013,Alytes obstetricans,Metamorph,0.763
Arlet,2013,Alytes obstetricans,Metamorph,0.141
Arlet,2013,Alytes obstetricans,Metamorph,61.9
Arlet,2013,Alytes obstetricans,Metamorph,438.4
Arlet,2013,Alytes obstetricans,Metamorph,109
Arlet,2013,Alytes obstetricans,Metamorph,0.389
Arlet,2013,Alytes obstetricans,Metamorph,659.4
Arlet,2013,Alytes obstetricans,Metamorph,15.8
Arlet,2013,Alytes obstetricans,Metamorph,0.00719
Arlet,2013,Alytes obstetricans,Metamorph,20.9
Arlet,2013,Alytes obstetricans,Metamorph,8.65
Arlet,2013,Alytes obstetricans,Metamorph,0.161
Arlet,2013,Alytes obstetricans,Metamorph,0.354
Arlet,2013,Alytes obstetricans,Metamorph,24.2
Arlet,2013,Alytes obstetricans,Metamorph,39.3
Arlet,2013,Alytes obstetricans,Metamorph,520.7
Arlet,2013,Alytes obstetricans,Metamorph,2.97
Arlet,2013,Alytes obstetricans,Metamorph,82.3
Arlet,2013,Alytes obstetricans,Metamorph,3.85
Arlet,2013,Alytes obstetricans,Metamorph,0
Arlet,2013,Alytes obstetricans,Metamorph,577.2
Arlet,2013,Alytes obstetricans,Metamorph,40.1
Arlet,2013,Alytes obstetricans,Metamorph,31.1
Arlet,2013,Alytes obstetricans,Metamorph,73.2
Arlet,2013,Alytes obstetricans,Metamorph,0.634
Arlet,2013,Alytes obstetricans,Metamorph,3.65
Arlet,2013,Alytes obstetricans,Metamorph,15.6
Arlet,2013,Alytes obstetricans,Metamorph,83.5
Arlet,2013,Alytes obstetricans,Metamorph,708.4
Arlet,2013,Alytes obstetricans,Metamorph,30
Arlet,2013,Alytes obstetricans,Metamorph,1881.2
Arlet,2013,Alytes obstetricans,Metamorph,956.2
Arlet,2013,Alytes obstetricans,Metamorph,3073.6
Arlet,2013,Alytes obstetricans,Metamorph,2.1
Arlet,2013,Alytes obstetricans,Metamorph,331
Arlet,2013,Alytes obstetricans,Metamorph,765
Arlet,2013,Alytes obstetricans,Metamorph,0
Arlet,2013,Alytes obstetricans,Metamorph,0
Arlet,2013,Alytes obstetricans,Metamorph,0
Arlet,2013,Alytes obstetricans,Metamorph,0
Arlet,2013,Alytes obstetricans,Metamorph,0
Arlet,2013,Alytes obstetricans,Metamorph,36.1
Arlet,2013,Alytes obstetricans,Metamorph,5603.2
Arlet,2013,Alytes obstetricans,Metamorph,10.9
Arlet,2013,Alytes obstetricans,Metamorph,254.8
Arlet,2013,Alytes obstetricans,Metamorph,834.6
Arlet,2013,Alytes obstetricans,Metamorph,15.8
Arlet,2013,Alytes obstetricans,Metamorph,372.4
Arlet,2013,Alytes obstetricans,Metamorph,1754.7
Arlet,2013,Alytes obstetricans,Metamorph,112.4
Arlet,2013,Alytes obstetricans,Metamorph,47.2
Arlet,2013,Alytes obstetricans,Metamorph,3361.5
Arlet,2013,Alytes obstetricans,Metamorph,1384.5
Arlet,2013,Alytes obstetricans,Metamorph,13.7
Arlet,2013,Alytes obstetricans,Metamorph,589.9
Arlet,2013,Alytes obstetricans,Metamorph,1.2
Arlet,2013,Alytes obstetricans,Metamorph,63.4
Arlet,2013,Alytes obstetricans,Metamorph,813.3
Arlet,2013,Alytes obstetricans,Metamorph,5073.7
Arlet,2014,Alytes obstetricans,Metamorph,31728.17139
Arlet,2014,Alytes obstetricans,Metamorph,47511.18652
Arlet,2014,Alytes obstetricans,Metamorph,1501.470337
Arlet,2014,Alytes obstetricans,Metamorph,0
Arlet,2014,Alytes obstetricans,Metamorph,76652.11914
Arlet,2014,Alytes obstetricans,Metamorph,109125.6348
Arlet,2014,Alytes obstetricans,Metamorph,3.535096347
Arlet,2014,Alytes obstetricans,Metamorph,17.40405798
Arlet,2014,Alytes obstetricans,Metamorph,21850.59326
Arlet,2014,Alytes obstetricans,Metamorph,15726.71143
Arlet,2014,Alytes obstetricans,Metamorph,382.96772
Arlet,2014,Alytes obstetricans,Metamorph,1288.986206
Arlet,2014,Alytes obstetricans,Metamorph,629.1017914
Arlet,2014,Alytes obstetricans,Metamorph,8563.21228
Arlet,2014,Alytes obstetricans,Metamorph,10872.72705
Arlet,2014,Alytes obstetricans,Metamorph,14502.05688
Arlet,2014,Alytes obstetricans,Metamorph,222.5051689
Arlet,2014,Alytes obstetricans,Metamorph,2656.387329
Arlet,2014,Alytes obstetricans,Metamorph,0.221794751
Arlet,2014,Alytes obstetricans,Metamorph,449.2821503
Arlet,2014,Alytes obstetricans,Metamorph,146.5914726
Arlet,2014,Alytes obstetricans,Metamorph,567.0394897
Arlet,2014,Alytes obstetricans,Metamorph,3465.593872
Arlet,2014,Alytes obstetricans,Metamorph,4247.330933
Arlet,2014,Alytes obstetricans,Metamorph,95.37211418
Arlet,2014,Alytes obstetricans,Metamorph,123.0761719
Arlet,2014,Alytes obstetricans,Metamorph,32720.80566
Arlet,2014,Alytes obstetricans,Metamorph,13157.76855
Arlet,2014,Alytes obstetricans,Metamorph,3325.880737
Arlet,2014,Alytes obstetricans,Metamorph,24733.78174
Arlet,2015,Alytes obstetricans,Metamorph,1576.98
Arlet,2015,Alytes obstetricans,Metamorph,1220.64
Arlet,2015,Alytes obstetricans,Metamorph,166.787
Arlet,2015,Alytes obstetricans,Metamorph,135.622
Arlet,2015,Alytes obstetricans,Metamorph,129.06
Arlet,2015,Alytes obstetricans,Metamorph,126.932
Arlet,2015,Alytes obstetricans,Metamorph,88.8324
Arlet,2015,Alytes obstetricans,Metamorph,81.4092
Arlet,2015,Alytes obstetricans,Metamorph,55.5119
Arlet,2015,Alytes obstetricans,Metamorph,37.4371
Arlet,2015,Alytes obstetricans,Metamorph,37.3788
Arlet,2015,Alytes obstetricans,Metamorph,8.62089
Arlet,2015,Alytes obstetricans,Metamorph,7.62955
Arlet,2015,Alytes obstetricans,Metamorph,4.53959
Arlet,2015,Alytes obstetricans,Metamorph,2.10709
Arlet,2015,Alytes obstetricans,Metamorph,0.293959
Arlet,2016,Alytes obstetricans,Metamorph,11904.8
Arlet,2016,Alytes obstetricans,Metamorph,843.729
Arlet,2016,Alytes obstetricans,Metamorph,5268.02
Arlet,2016,Alytes obstetricans,Metamorph,854.871
Arlet,2016,Alytes obstetricans,Metamorph,632.773
Arlet,2016,Alytes obstetricans,Metamorph,1900.73
Arlet,2016,Alytes obstetricans,Metamorph,1999.35
Arlet,2016,Alytes obstetricans,Metamorph,1917.22
Arlet,2016,Alytes obstetricans,Metamorph,1607.97
Arlet,2016,Alytes obstetricans,Metamorph,9344.25
Arlet,2016,Alytes obstetricans,Metamorph,4678.18
Arlet,2016,Alytes obstetricans,Metamorph,2740.42
Arlet,2016,Alytes obstetricans,Metamorph,4292.84
Arlet,2016,Alytes obstetricans,Metamorph,471.793
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,1238.17749
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,0
Arlet,2016,Alytes obstetricans,Metamorph,3036.842346
Arlet,2017,Alytes obstetricans,Metamorph,189.6084404
Arlet,2017,Alytes obstetricans,Metamorph,5393.05481
Arlet,2017,Alytes obstetricans,Metamorph,330.5064392
Arlet,2017,Alytes obstetricans,Metamorph,10.07997036
Arlet,2017,Alytes obstetricans,Metamorph,967.0764923
Arlet,2017,Alytes obstetricans,Metamorph,812.8791809
Arlet,2017,Alytes obstetricans,Metamorph,78.19043159
Arlet,2017,Alytes obstetricans,Metamorph,0.864830837
Arlet,2017,Alytes obstetricans,Metamorph,28.53441715
Arlet,2017,Alytes obstetricans,Metamorph,129.9357224
Arlet,2017,Alytes obstetricans,Metamorph,2.61244297
Arlet,2017,Alytes obstetricans,Metamorph,2.140504122
Arlet,2017,Alytes obstetricans,Metamorph,17.69909859
Arlet,2017,Alytes obstetricans,Metamorph,0.854174793
Arlet,2017,Alytes obstetricans,Metamorph,5.589901209
Arlet,2017,Alytes obstetricans,Metamorph,1.186022609
Arlet,2017,Alytes obstetricans,Metamorph,3.664003611
Arlet,2017,Alytes obstetricans,Metamorph,0.596659705
Arlet,2017,Alytes obstetricans,Metamorph,372.1574402
Arlet,2017,Alytes obstetricans,Metamorph,169.7562027
Arlet,2017,Alytes obstetricans,Metamorph,313.3416176
Arlet,2017,Alytes obstetricans,Metamorph,57.50484467
Arlet,2017,Alytes obstetricans,Metamorph,363.1649017
Arlet,2017,Alytes obstetricans,Metamorph,59.36975479
Arlet,2017,Alytes obstetricans,Metamorph,82.69304276
Arlet,2017,Alytes obstetricans,Metamorph,310.0246048
Arlet,2018,Alytes obstetricans ,Metamorph,73.28622818
Arlet,2018,Alytes obstetricans ,Metamorph,7.36348033
Arlet,2018,Alytes obstetricans ,Metamorph,6.377995014
Arlet,2018,Alytes obstetricans ,Metamorph,442.4349976
Arlet,2018,Alytes obstetricans ,Metamorph,44.53778267
Arlet,2018,Alytes obstetricans ,Metamorph,0.722126365
Arlet,2018,Alytes obstetricans ,Metamorph,3.043080866
Arlet,2018,Alytes obstetricans ,Metamorph,9.415764213
Arlet,2018,Alytes obstetricans ,Metamorph,1889.868469
Arlet,2018,Alytes obstetricans ,Metamorph,58.65493298
Arlet,2018,Alytes obstetricans ,Metamorph,4.131849706
Arlet,2018,Alytes obstetricans ,Metamorph,5.138709545
Arlet,2018,Alytes obstetricans ,Metamorph,33.78095388
Arlet,2018,Alytes obstetricans ,Metamorph,1.493605971
Arlet,2018,Alytes obstetricans ,Metamorph,0.749291703
Arlet,2018,Alytes obstetricans ,Metamorph,0.091346791
Arlet,2018,Alytes obstetricans ,Metamorph,0.085771149
Arlet,2018,Alytes obstetricans ,Metamorph,0
Arlet,2018,Alytes obstetricans ,Metamorph,0.778423175
Arlet,2018,Alytes obstetricans ,Metamorph,0
Arlet,2018,Alytes obstetricans ,Metamorph,0
Arlet,2018,Alytes obstetricans ,Metamorph,0
Arlet,2018,Alytes obstetricans ,Metamorph,0.352663212
Arlet,2018,Alytes obstetricans ,Metamorph,0.106870774
Arlet,2018,Alytes obstetricans ,Metamorph,0
Arlet,2018,Alytes obstetricans ,Metamorph,0
Arlet,2018,Alytes obstetricans ,Metamorph,0
Arlet,2018,Alytes obstetricans ,Metamorph,0
Arlet,2018,Alytes obstetricans ,Metamorph,0
Arlet,2018,Alytes obstetricans ,Metamorph,0
Arlet,2009,Alytes obstetricans ,Metamorph,4.35327
Arlet,2009,Alytes obstetricans ,Metamorph,4.49064
Arlet,2009,Alytes obstetricans ,Metamorph,2.21046
Arlet,2009,Alytes obstetricans ,Metamorph,6.99865
Arlet,2009,Alytes obstetricans ,Metamorph,0.631282
Arlet,2009,Alytes obstetricans ,Metamorph,0.846347
Arlet,2009,Alytes obstetricans ,Metamorph,15.0616
Arlet,2009,Alytes obstetricans ,Metamorph,0.110406
Arlet,2009,Alytes obstetricans ,Metamorph,0.622698
Arlet,2009,Alytes obstetricans ,Metamorph,9.36667
Arlet,2009,Alytes obstetricans ,Metamorph,0.600734
Arlet,2009,Alytes obstetricans ,Metamorph,3.92176
Arlet,2009,Alytes obstetricans ,Metamorph,463.247
Arlet,2009,Alytes obstetricans ,Metamorph,43.0594
Arlet,2009,Alytes obstetricans ,Metamorph,0.337
Arlet,2009,Alytes obstetricans ,Metamorph,43.1397
Arlet,2009,Alytes obstetricans ,Metamorph,463.821
Arlet,2009,Alytes obstetricans ,Metamorph,0.214616
Arlet,2009,Alytes obstetricans ,Metamorph,325.871
Arlet,2009,Alytes obstetricans ,Metamorph,14.7552
Arlet,2009,Alytes obstetricans ,Metamorph,41.4281
Arlet,2009,Alytes obstetricans ,Metamorph,6.21016
Arlet,2009,Alytes obstetricans ,Metamorph,2479.01
Arlet,2009,Alytes obstetricans ,Metamorph,0.743204
Arlet,2009,Alytes obstetricans ,Metamorph,0.0781135
Arlet,2009,Alytes obstetricans ,Metamorph,2748.65
Arlet,2009,Alytes obstetricans ,Metamorph,2722.44
Arlet,2009,Alytes obstetricans ,Metamorph,95.9444
Arlet,2009,Alytes obstetricans ,Metamorph,5.86329
Arlet,2009,Alytes obstetricans ,Metamorph,0
Arlet,2009,Alytes obstetricans ,Metamorph,0
